pk_id,batch,pt_type,pt_name,prob_desc,prob_img,dept_id,insp_std,eval_man,re_eval_time,disp_time,proc_time,ru_rect_img,ru_fdbk_desc,r_audit,u_rect_status,u_rect_man
757,,居民小区,慎城小区,南门处地面存在垃圾,/profile/upload/2024/04/16/tmp_6c91aef161b7b1e2029bc11c5744ad27_20240416084310A203.jpg,342,公共环境,,16/4/2024,0/0/0 00:00:00,,/profile/upload/2024/05/23/tmp_f3aa782927767c0218131982e2dd68a7_20240523180055A552.jpg,,已整改,,dfsq
758,,居民小区,慎城小区,小区南门处公益广告存在老旧褪色,/profile/upload/2024/04/16/tmp_c1a803b95072ca015a35df44727c7196_20240416084418A204.jpg,342,公益宣传,,16/4/2024,0/0/0 00:00:00,,/profile/upload/2024/04/17/tmp_0cc97a61c8dc0be0e3760e36d2df11a45fe5595baf96d9e1_20240417101158A159.jpg,,已整改,,dfsq
759,,居民小区,慎城小区,3栋2单元一楼存在烟头,/profile/upload/2024/04/16/tmp_2cfabd46c75b6661bda0a30ae7c3c6e7_20240416084702A205.jpg,342,公共环境,,16/4/2024,0/0/0 00:00:00,,/profile/upload/2024/04/17/tmp_7d5888b06730a648e002a1d50cbd1ded2a7664acc3af157b_20240417092125A981.jpg,,已整改,,dfsq
760,,居民小区,慎城小区,3栋2单元二层半窗户台上存在垃圾,/profile/upload/2024/04/16/tmp_a41c7999c1c83f9d13a3f65e13da7e35_20240416084812A207.jpg,342,公益宣传,,16/4/2024,0/0/0 00:00:00,,/profile/upload/2024/04/17/tmp_db7169a9e8358a1f020a7634279b030ad69f9141de28e4cf_20240417100311A129.jpg,,已整改,,dfsq
761,,居民小区,慎城小区,3栋2单元三楼地面存在垃圾,/profile/upload/2024/04/16/tmp_5476886260826e84022305609bc096b8_20240416084912A208.jpg,342,公共环境,,16/4/2024,0/0/0 00:00:00,,/profile/upload/2024/04/17/tmp_4a5272379a908a3ccdecab72eb779a4cc4c4baeacbf39516_20240417100437A138.jpg,,已整改,,dfsq 
762,,居民小区,慎城小区,三栋二单元三层半扶手上存在小广告清理不彻底,/profile/upload/2024/04/16/tmp_88408b703883e3e684496cb74bceab00_20240416084952A209.jpg,342,公共秩序,,16/4/2024,0/0/0 00:00:00,,/profile/upload/2024/04/17/tmp_fb9dc1230c289c864304bca4b81dd40acbe89558cf101fa4_20240417100502A141.jpg,,已整改,,dfsq
763,,居民小区,老县医院家属院,机动车乱停放,/profile/upload/2024/04/16/tmp_adef714aa5dfcb58d3017f6bd122b0aa_20240416085111A210.jpg,342,公共秩序,,16/4/2024,0/0/0 00:00:00,,/profile/upload/2024/04/17/a41f85c5367df47a177006870df334d_20240417145618A561.jpg,,已整改,,gbsq
764,,居民小区,老县医院家属院,刘霞药房后侧地面存在垃圾,/profile/upload/2024/04/16/tmp_68a75bb0393d500bd3439d15d4697450_20240416085144A211.jpg,342,公共环境,,16/4/2024,0/0/0 00:00:00,,/profile/upload/2024/04/17/1027197a99fc4b4240881792354e2b5_20240417100350A133.jpg,,已整改,,gbsq
765,,居民小区,老县医院家属院,春天里名烟名酒超市对面巷子存在流动摊贩,/profile/upload/2024/04/16/tmp_deb8fa86da47ed4e1a50d05ccc2b94ac_20240416085229A212.jpg,342,公共秩序,,16/4/2024,0/0/0 00:00:00,,/profile/upload/2024/04/17/06ab4a6faaabb45bd6aa71c2f9f57b8_20240417095347A095.jpg,,已整改,,gbsq
766,,居民小区,慎城小区,三栋二单元一楼存在乱粘贴,/profile/upload/2024/04/16/tmp_1966fd7e28160eb6910411dc9e5b72ce_20240416085323A213.jpg,342,公共秩序,,16/4/2024,0/0/0 00:00:00,,/profile/upload/2024/04/17/微信图片_20240417101838_20240417101913A171.jpg,,已整改,,dfsq
767,,居民小区,慎城小区,3栋2单元门口非机动乱停放,/profile/upload/2024/04/16/tmp_7cf137cf7f558f7782ddf4e6dd1a8841_20240416085656A214.jpg,342,公共秩序,,16/4/2024,0/0/0 00:00:00,,/profile/upload/2024/04/17/微信图片_20240417102934_20240417102951A201.jpg,,已整改,,dfsq
768,,农贸(集贸) 市场,城南智慧农贸市场,市场门口停车场乱停放,/profile/upload/2024/04/16/tmp_ca1c80640d84a5348621a9974ecb23000dd88411de2bf016_20240416085840A215.jpg,239,公共秩序,,16/4/2024,0/0/0 00:00:00,,/profile/upload/2024/04/22/锻炼1_20240422092719A038.jpg,已整改,已整改,,城南菜市场
